section_index,section_name,section_title,start_address,end_address,record_count,fcb_count,fdb_count,data_width,raw_label,raw_comment,module_candidate,submodule_candidate,minimal_os_relevance,excluded_reason,source_confidence,needs_hardware_contract,notes
105,CAL_$4DE9,FACTOR PCNTS,$4DE9,$4DFD,21,21,0,8_bit_fcb,L4DE9,FACTOR PCNTS,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
106,CAL_$4DFE,FACTOR PCNTS,$4DFE,$4E12,21,21,0,8_bit_fcb,L4DFE,FACTOR PCNTS,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
107,CAL_$4E13,FACTOR PCNTS,$4E13,$4E1D,11,11,0,8_bit_fcb,L4E13,FACTOR PCNTS,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
108,CAL_$4E1E,MULT DRP'S,$4E1E,$4E25,8,8,0,8_bit_fcb,L4E1E,MULT DRP'S,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
109,CAL_$4E26,MULT DRP'S,$4E26,$4E91,108,108,0,8_bit_fcb,L4E26,MULT DRP'S,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
110,CAL_$4E92,IAC POSITION Deg C COOLANT,$4E92,$4EA0,15,15,0,8_bit_fcb,L4E92,IAC POSITION Deg C COOLANT,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
111,CAL_$4EA1,STEPS RPM,$4EA1,$4EA9,9,9,0,8_bit_fcb,L4EA1,STEPS RPM,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
112,CAL_$4EAA,STEPS RPM ERROR,$4EAA,$4EB0,7,7,0,8_bit_fcb,L4EAA,STEPS RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
113,CAL_$4EB1,L4EB0 FCB 145 ; 145 STEPS IAC PARK DOWN | IAC CALIBRATIONS | T,$4EB1,$4EB5,5,5,0,8_bit_fcb,L4EB1,L4EB0 FCB 145 ; 145 STEPS IAC PARK DOWN | IAC CALIBRATIONS | Type 31 L19,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
114,CAL_$4EB6,Volts,$4EB6,$4EB6,1,1,0,8_bit_fcb,L4EB6,Volts,battery_voltage,voltage qualification/correction,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
115,CAL_$4EB7,VE Valu Kpa MAP,$4EB7,$4EC1,11,11,0,8_bit_fcb,L4EB7,VE Valu Kpa MAP,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
116,CAL_$4EC2,VE VAL RPM,$4EC2,$4EC9,8,8,0,8_bit_fcb,L4EC2,VE VAL RPM,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
117,CAL_$4ECA,L4EC9 FCB 54 ; 93.8 6400 | LEFT/RIGHT VE MULTIPLIER TABLE | T,$4ECA,$4F01,56,56,0,8_bit_fcb,L4ECA,L4EC9 FCB 54 ; 93.8 6400 | LEFT/RIGHT VE MULTIPLIER TABLE | TBL = 256 * ,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
118,CAL_$4F02,Sec's Deg c,$4F02,$4F31,48,48,0,8_bit_fcb,L4F02,Sec's Deg c,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
119,CAL_$4F32,L4F2F FCB 2 ; 2 72 | L4F30 FCB 2 ; 2 80 | L4F31 FCB 2 ; ,$4F32,$4F5D,44,44,0,8_bit_fcb,L4F32,L4F2F FCB 2 ; 2 72 | L4F30 FCB 2 ; 2 80 | L4F31 FCB 2 ; 2 88 |,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
120,CAL_$4F5E,MSEC %TPS,$4F5E,$4F6D,16,16,0,8_bit_fcb,L4F5E,MSEC %TPS,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
121,CAL_$4F6E,RPM/12.5 Deg c COOL,$4F6E,$4F91,36,36,0,8_bit_fcb,L4F6E,RPM/12.5 Deg c COOL,evap_excluded,evap,excluded,EVAP/purge strategy excluded,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
122,CAL_$4F92,GAIN RPM ERROR,$4F92,$4F9C,11,11,0,8_bit_fcb,L4F92,GAIN RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
123,CAL_$4F9D,GAIN RPM ERROR,$4F9D,$4FA7,11,11,0,8_bit_fcb,L4F9D,GAIN RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
124,CAL_$4FA8,GAIN RPM ERROR,$4FA8,$4FB2,11,11,0,8_bit_fcb,L4FA8,GAIN RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
125,CAL_$4FB3,GAIN RPM Error,$4FB3,$4FCB,25,25,0,8_bit_fcb,L4FB3,GAIN RPM Error,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
126,CAL_$4FCC,%FLOW RPM ERROR,$4FCC,$4FD6,11,11,0,8_bit_fcb,L4FCC,%FLOW RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
127,CAL_$4FD7,. %FLOW RPM ERROR,$4FD7,$4FE1,11,11,0,8_bit_fcb,L4FD7,. %FLOW RPM ERROR,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
128,CAL_$4FE2,%FLOW RPM ERROR,$4FE2,$4FEC,11,11,0,8_bit_fcb,L4FE2,%FLOW RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
129,CAL_$4FED,%FLOW RPM ERROR,$4FED,$4FFD,17,17,0,8_bit_fcb,L4FED,%FLOW RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
130,CAL_$4FFE,%FLOW RPM ERROR,$4FFE,$5016,25,25,0,8_bit_fcb,L4FFE,%FLOW RPM ERROR,iac_idle,IAC/idle-air module,bench_gated,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
131,CAL_$5017,RPM % FLOW,$5017,$502B,21,21,0,8_bit_fcb,L5017,RPM % FLOW,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
132,CAL_$502C,RPM %TPS,$502C,$5036,11,11,0,8_bit_fcb,L502C,RPM %TPS,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
133,CAL_$5037,AFR Deg c COOL,$5037,$5041,11,11,0,8_bit_fcb,L5037,AFR Deg c COOL,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
134,CAL_$5042,AFR Kpa MAP,$5042,$504C,11,11,0,8_bit_fcb,L5042,AFR Kpa MAP,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
135,CAL_$504D,L504C FCB 159 ; 15.9 100 | MAN TRANS, FUEL TO AIR RATIOS FOR DE,$504D,$5066,26,26,0,8_bit_fcb,L504D,L504C FCB 159 ; 15.9 100 | MAN TRANS, FUEL TO AIR RATIOS FOR DECEL ENLEAN,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
136,CAL_$5067,KPA MAP,$5067,$5071,11,11,0,8_bit_fcb,L5067,KPA MAP,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
137,CAL_$5072,VE VALUE RPM,$5072,$5079,8,8,0,8_bit_fcb,L5072,VE VALUE RPM,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
138,CAL_$507A,L5077 FCB 72 ; 112.5 4400 | L5078 FCB 76 ; 118.8 5600 | L5079,$507A,$50AC,51,51,0,8_bit_fcb,L507A,L5077 FCB 72 ; 112.5 4400 | L5078 FCB 76 ; 118.8 5600 | L5079 FCB ,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
139,CAL_$50AD,%Flow RPM,$50AD,$50E8,60,60,0,8_bit_fcb,L50AD,%Flow RPM,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
140,CAL_$50E9,FACTOR %TPS,$50E9,$50EE,6,6,0,8_bit_fcb,L50E9,FACTOR %TPS,egr_excluded,egr,excluded,EGR/emissions strategy excluded,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
141,CAL_$50EF,Gain RPM/Sec,$50EF,$50F9,11,11,0,8_bit_fcb,L50EF,Gain RPM/Sec,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
142,CAL_$50FA,MAP Kpa Baro,$50FA,$5109,16,16,0,8_bit_fcb,L50FA,MAP Kpa Baro,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
143,CAL_$510A,FACTOR %TPS ERROR,$510A,$5124,27,27,0,8_bit_fcb,L510A,FACTOR %TPS ERROR,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
144,CAL_$5125,FACTOR Kpa MAP,$5125,$512F,11,11,0,8_bit_fcb,L5125,FACTOR Kpa MAP,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
145,CAL_$5130,VE Valu Kpa MAP,$5130,$513A,11,11,0,8_bit_fcb,L5130,VE Valu Kpa MAP,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
146,CAL_$513B,VE VAL RPM,$513B,$5140,6,6,0,8_bit_fcb,L513B,VE VAL RPM,fuel,fuel math/output support,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
147,CAL_$5141,L513E FCB 73 ; 113.5 2000 | L513F FCB 78 ; 121.9 3200 | L5140,$5141,$5150,16,16,0,8_bit_fcb,L5141,L513E FCB 73 ; 113.5 2000 | L513F FCB 78 ; 121.9 3200 | L5140 FCB ,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
148,CAL_$5151,FACTOR BARO Kpa,$5151,$5163,19,19,0,8_bit_fcb,L5151,FACTOR BARO Kpa,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
149,CAL_$5164,% FULL LD MPH,$5164,$517D,26,26,0,8_bit_fcb,L5164,% FULL LD MPH,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
150,CAL_$517E,% FULL LD RPM,$517E,$518E,17,17,0,8_bit_fcb,L517E,% FULL LD RPM,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
151,CAL_$518F,L518D FDB 00000 ; 31.25 Hz LOWER LIMIT | $31 REMOTE BROADCAST MODE,$518F,$55F4,263,253,10,mixed_fcb_fdb,L518F,L518D FDB 00000 ; 31.25 Hz LOWER LIMIT | $31 REMOTE BROADCAST MODE | REMOTE MESSA,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
152,CAL_$55F5,L55F3 FCB 28 ; 14 | L55F4 FCB 24 ; 12 | --------- (END OF P3,$55F5,$5602,14,14,0,8_bit_fcb,L55F5,L55F3 FCB 28 ; 14 | L55F4 FCB 24 ; 12 | --------- (END OF P3 TRANS VALS) | TRA,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
153,CAL_$5603,STATE Cool deg C,$5603,$5624,34,34,0,8_bit_fcb,L5603,STATE Cool deg C,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
154,CAL_$5625,STATE Cool deg C,$5625,$5662,62,62,0,8_bit_fcb,L5625,STATE Cool deg C,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
155,CAL_$5663,STATE Cool deg C,$5663,$56AF,77,77,0,8_bit_fcb,L5663,STATE Cool deg C,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
156,CAL_$56B0,MPH BARO Kpa,$56B0,$56F6,71,71,0,8_bit_fcb,L56B0,MPH BARO Kpa,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
157,CAL_$56F7,TCC ENAB TPS vs MAT,$56F7,$5700,10,10,0,8_bit_fcb,L56F7,TCC ENAB TPS vs MAT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
158,CAL_$5701,MPH BARO Kpa,$5701,$5747,71,71,0,8_bit_fcb,L5701,MPH BARO Kpa,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
159,CAL_$5748,TCC Release TPS vs MAT,$5748,$5751,10,10,0,8_bit_fcb,L5748,TCC Release TPS vs MAT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
160,CAL_$5752,L5750 FCB 16 ; 50.0 68 | L5751 FCB 16 ; 50.0 80 | HOT MODE A/F,$5752,$578F,62,62,0,8_bit_fcb,L5752,L5750 FCB 16 ; 50.0 68 | L5751 FCB 16 ; 50.0 80 | HOT MODE A/F RA,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
161,CAL_$5790,TPS Percent,$5790,$5794,5,5,0,8_bit_fcb,L5790,TPS Percent,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
162,CAL_$5795,Cool Deg C,$5795,$579F,11,11,0,8_bit_fcb,L5795,Cool Deg C,crank_start,crank/start module,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
163,CAL_$57A0,IAC Steps,$57A0,$57AA,11,11,0,8_bit_fcb,L57A0,IAC Steps,iac_idle,IAC/idle-air module,bench_gated,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
164,CAL_$57AB,MPH TPS,$57AB,$58CE,292,292,0,8_bit_fcb,L57AB,MPH TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
165,CAL_$5961,L595E FCB 0 ; 0 14 | L595F FCB 0 ; 0 15 | L5960 FCB 0 ;,$5961,$5BCF,311,311,0,8_bit_fcb,L5961,L595E FCB 0 ; 0 14 | L595F FCB 0 ; 0 15 | L5960 FCB 0 ; 0 16 | ,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,medium_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
166,CAL_$5D00,ALL ZERO'D L5BD0 TH L5CFF | BMHM/9483 P/N 16209482 | PCM $31,$5D00,$5D3D,62,62,0,8_bit_fcb,L5D00,ALL ZERO'D L5BD0 TH L5CFF | BMHM/9483 P/N 16209482 | PCM $31 TRANSMI,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
167,CAL_$5D3E,MPH GEAR SHIFT,$5D3E,$5D43,6,6,0,8_bit_fcb,L5D3E,MPH GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
168,CAL_$5D44,MPH GEAR SHIFT,$5D44,$5D49,6,6,0,8_bit_fcb,L5D44,MPH GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
169,CAL_$5D4A,MPH GEAR SHIFT,$5D4A,$5D4F,6,6,0,8_bit_fcb,L5D4A,MPH GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
170,CAL_$5D50,MPH GEAR SHIFT,$5D50,$5D55,6,6,0,8_bit_fcb,L5D50,MPH GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
171,CAL_$5D56,RPM GEAR SHIFT,$5D56,$5D5A,5,5,0,8_bit_fcb,L5D56,RPM GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
172,CAL_$5D5C,RPM GEAR SHIFT,$5D5C,$5D60,5,5,0,8_bit_fcb,L5D5C,RPM GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
173,CAL_$5D62,RPM GEAR SHIFT,$5D62,$5D66,5,5,0,8_bit_fcb,L5D62,RPM GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
174,CAL_$5D68,RPM GEAR SHIFT,$5D68,$5D6C,5,5,0,8_bit_fcb,L5D68,RPM GEAR SHIFT,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
175,CAL_$5D6E,MPH %TPS,$5D6E,$5D7E,17,17,0,8_bit_fcb,L5D6E,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
176,CAL_$5D7F,MPH %TPS,$5D7F,$5D8F,17,17,0,8_bit_fcb,L5D7F,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
177,CAL_$5D90,MPH %TPS,$5D90,$5DA0,17,17,0,8_bit_fcb,L5D90,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
178,CAL_$5DA1,MPH %TPS,$5DA1,$5DB1,17,17,0,8_bit_fcb,L5DA1,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
179,CAL_$5DB2,MPH %TPS,$5DB2,$5DC2,17,17,0,8_bit_fcb,L5DB2,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
180,CAL_$5DC3,MPH %TPS,$5DC3,$5DD3,17,17,0,8_bit_fcb,L5DC3,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
181,CAL_$5DD4,MPH %TPS,$5DD4,$5DE4,17,17,0,8_bit_fcb,L5DD4,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
182,CAL_$5DE5,MPH %TPS,$5DE5,$5DF5,17,17,0,8_bit_fcb,L5DE5,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
183,CAL_$5DF6,MPH %TPS,$5DF6,$5E06,17,17,0,8_bit_fcb,L5DF6,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
184,CAL_$5E07,MPH %TPS,$5E07,$5E17,17,17,0,8_bit_fcb,L5E07,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
185,CAL_$5E18,MPH %TPS,$5E18,$5E28,17,17,0,8_bit_fcb,L5E18,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
186,CAL_$5E29,MPH %TPS,$5E29,$5E39,17,17,0,8_bit_fcb,L5E29,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
187,CAL_$5E3A,MPH %TPS,$5E3A,$5E4A,17,17,0,8_bit_fcb,L5E3A,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
188,CAL_$5E4B,MPH %TPS,$5E4B,$5E5B,17,17,0,8_bit_fcb,L5E4B,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
189,CAL_$5E5C,MPH %TPS,$5E5C,$5E6C,17,17,0,8_bit_fcb,L5E5C,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
190,CAL_$5E6D,MPH %TPS,$5E6D,$5E7D,17,17,0,8_bit_fcb,L5E6D,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
191,CAL_$5E7E,MPH %TPS,$5E7E,$5E8E,17,17,0,8_bit_fcb,L5E7E,MPH %TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
192,CAL_$5E8F,MPH TPS,$5E8F,$5E9F,17,17,0,8_bit_fcb,L5E8F,MPH TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
193,CAL_$5EA0,MPH TPS,$5EA0,$5EB0,17,17,0,8_bit_fcb,L5EA0,MPH TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
194,CAL_$5EB1,MPH TPS,$5EB1,$5EC1,17,17,0,8_bit_fcb,L5EB1,MPH TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
195,CAL_$5EB1,MPH TPS,$5EC2,$5F2F,110,110,0,8_bit_fcb,L5EC2,MPH TPS,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
196,CAL_$5F30,POWER ENRICH MOD | FORCE MOTOR vs XMISH RPM (ENGINE SPEED) |,$5F30,$5F40,17,17,0,8_bit_fcb,L5F30,POWER ENRICH MOD | FORCE MOTOR vs XMISH RPM (ENGINE SPEED) | LINE PRES,fuel,fuel math/output support,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
197,CAL_$5F41,L5F3F FCB 128 ; 0.0 7680 | L5F40 FCB 128 ; 0.0 8192 | MAT TE,$5F41,$5FB7,119,119,0,8_bit_fcb,L5F41,L5F3F FCB 128 ; 0.0 7680 | L5F40 FCB 128 ; 0.0 8192 | MAT TEMP OFFSET ,sensor_scaling,sensor scaling/input conditioning,likely_required,,medium_keyword,yes,classified by label/comment keywords; validate exact usage through mod
198,CAL_$5FB8,L5FB6 FCB 75 ; | L5FB7 FCB 75 ; | GARAGE SHIFT PSI P/N | 09-,$5FB8,$6042,139,139,0,8_bit_fcb,L5FB8,L5FB6 FCB 75 ; | L5FB7 FCB 75 ; | GARAGE SHIFT PSI P/N | 09-20-2000 Di,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
199,CAL_$6043,L6041 FCB 25 ; 25 15 | L6042 FCB 25 ; 25 16 | GARAGE SHIFT P,$6043,$60CD,139,139,0,8_bit_fcb,L6043,L6041 FCB 25 ; 25 15 | L6042 FCB 25 ; 25 16 | GARAGE SHIFT PSI REV | 0,trans_excluded,trans,excluded,transmission strategy excluded unless hardware-req,high_keyword,no,excluded strategy baggage; do not feed minimal OS unless future hardwa
200,CAL_$60CE,L60CC FCB 1 ; 1 15 | L60CD FCB 1 ; 1 16 | FILE VEH SPD | 09-,$60CE,$6125,88,88,0,8_bit_fcb,L60CE,L60CC FCB 1 ; 1 15 | L60CD FCB 1 ; 1 16 | FILE VEH SPD | 09-20-2000 Di,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
201,CAL_$6126,L6123 FCB 128 ; 1.000 2 | L6124 FCB 128 ; 1.000 3 | L6125 FC,$6126,$6154,47,47,0,8_bit_fcb,L6126,L6123 FCB 128 ; 1.000 2 | L6124 FCB 128 ; 1.000 3 | L6125 FCB 128 ; 1.,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
202,CAL_$6155,L6152 FCB 128 ; 1.000 8 | L6153 FCB 128 ; 1.000 9 | L6154 FC,$6155,$6183,47,47,0,8_bit_fcb,L6155,L6152 FCB 128 ; 1.000 8 | L6153 FCB 128 ; 1.000 9 | L6154 FCB 138 ; 1.,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
203,CAL_$6184,L6181 FCB 128 ; 1.000 8 | L6182 FCB 128 ; 1.000 9 | L6183 FC,$6184,$61B2,47,47,0,8_bit_fcb,L6184,L6181 FCB 128 ; 1.000 8 | L6182 FCB 128 ; 1.000 9 | L6183 FCB 138 ; 1.,unknown,unknown,unknown,,low_unclassified,yes_if_later_used,no confident module keyword; keep listed rather than guessing
204,CAL_$61B3,L61B2 FCB 138 ; 1.078 10 | MAIN LINE PRESS TBL vs MPH vs %TP,$61B3,$62D6,292,292,0,8_bit_fcb,L61B3,L61B2 FCB 138 ; 1.078 10 | MAIN LINE PRESS TBL vs MPH vs %TPS | 0-64 M,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
205,CAL_$62D7,L62D5 FCB 58 ; 58 60 | L62D6 FCB 58 ; 58 64 | 64 - 128 MPH M,$62D7,$63FA,292,292,0,8_bit_fcb,L62D7,L62D5 FCB 58 ; 58 60 | L62D6 FCB 58 ; 58 64 | 64 - 128 MPH MAIN LINE P,sensor_scaling,sensor scaling/input conditioning,likely_required,,high_keyword,yes,classified by label/comment keywords; validate exact usage through mod
